Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_0_1,fill_per_m_0_0_0_1,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_1_1,fill_per_m_0_0_1_1,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_ratio_1,distance_from_14_0_0,fill_per_m_1_14_0_0,distance_from_288_0_1,fill_per_m_1_288_0_1,distance_from_160_1_0,fill_per_m_1_160_1_0,distance_from_70_1_1,fill_per_m_1_70_1_1,distance_from_201_2_0,fill_per_m_1_201_2_0,fill_ratio_2,distance_from_68_0_1,fill_per_m_2_68_0_1,distance_from_245_1_1,fill_per_m_2_245_1_1,distance_from_157_2_0,fill_per_m_2_157_2_0
2,76.716595,30.726273,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6415804057255251,155.86510920157536,0.44836546882402767,223.03234069804677,0.34390478514923983,290.77815813642815,0.37075215712173204,269.7219640644362,0.0674414598079049,1482.767429483768,0.0,0.28016740126053435,356.92946270721774,0.2455457769227456,407.25603695258144,0.09146052574907038,0.0
2,76.720504,30.729951,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6504537582780227,153.7388303585712,0.4360910638234617,229.30990404444972,0.32792490133265945,304.94786944696284,0.34331774971570433,291.27535667121293,0.04167440892502769,2399.554128767612,0.0,0.31149892599392015,321.0283941780005,0.30450487948090943,328.40196245942053,0.14496480679039417,0.0
2,76.712239,30.733528,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6868991504886688,145.581778531621,0.495352986604884,201.8762432127305,0.39846475460041014,250.96322534293495,0.4117866368405635,242.84420875638622,0.15025565231285454,665.5323674066196,0.0,0.38328539852467314,260.9021903388859,0.3154376714335171,317.0198395947657,0.17253202311522997,0.0
2,76.727989,30.713761,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.41119842188493455,243.1915948062246,0.3761799181597352,265.8302455091118,0.4493552226153019,222.5410876900192,0.2457082769526729,406.986696745513,0.18095339017590767,552.6284967791341,1.0,0.2551150165473842,391.9800619867719,0.15080943608470956,663.0884817036917,0.1730220577446649,577.960991237162
2,76.704889,30.732946,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.7113953103041981,140.56882095165798,0.5018379532748707,199.26751125024455,0.44155676790240134,226.47144663877808,0.4578129890213743,218.42980080962974,0.17895957730143047,558.7854056649064,1.0,0.4315416101575301,231.7273645141565,0.32621676188839727,306.54464050566236,0.1787018342712316,559.5913461538461
2,76.724986,30.715899,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.42370812423708126,236.01152368758002,0.3894336250708068,256.7831680734246,0.44989269273422106,222.27522610391912,0.2617339896761634,382.0673047613242,0.1871853583424418,534.2298184298014,1.0,0.270940873297644,369.08421672555954,0.1695853711076184,589.6735039518254,0.17943051355901102,557.3188083592707
2,76.721468,30.736991,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6526610437377214,153.21888897690366,0.43915715150888496,227.70891845074922,0.32789996898033946,304.9710566029236,0.34746451203119694,287.7991752752625,0.12331053634470228,810.9607091518927,1.0,0.31584661516418266,316.60937682684437,0.437968064520894,228.32715008431703,0.199301319074137,501.7528256438762
2,76.730074,30.734448,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.629841559688629,158.7700882257379,0.3958882653422641,252.59652471271224,0.2469716885345255,404.90471030658426,0.30459421806990894,328.30564097263493,0.1085863157314779,920.9263554653525,1.0,0.2708990877679042,369.1411470742054,0.3910398186555005,255.72843283281674,0.2044139754901575,489.20334218936506
2,76.735379,30.734311,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6324078850693304,158.1257956469614,0.429293876721537,232.9406623818801,0.2064671950476012,484.3384440658716,0.30941549813190766,323.190016672561,0.11476652753677563,871.3341960089899,1.0,0.2759539777079523,362.3792663928622,0.3952539511325799,253.0018984337921,0.20992980975159845,476.3496909673095
2,76.714692,30.737373,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6823802737949711,146.54585403511552,0.49477601356142825,202.1116571116571,0.38540660646869324,259.4662320821505,0.4032971560172084,247.95612492673536,0.12438963442225479,803.9255076555544,1.0,0.3743913228470895,267.10020745016686,0.4774730358553898,209.43591049251745,0.21675998027919793,461.3397725502415
2,76.737358,30.730679,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.631691061876904,158.30523183734192,0.3767199993734778,265.4491403862545,0.21957255519269475,455.4303242144309,0.3080688234695236,324.6027912652211,0.13967530484223387,715.946173254836,1.0,0.2745420513904878,364.2429256047467,0.3940746657895355,253.75901746855067,0.2350241602643924,425.4881706097967
2,76.724239,30.739403,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6460978124270996,154.77532670222928,0.5042554952704177,198.3121670223403,0.31520013244335415,317.25874994031415,0.33513436227772464,298.3877848882901,0.24063301903120693,415.57056634456023,1.0,0.302926546614793,330.113029437337,0.5030364143971946,198.7927655691355,0.23935373663338022,417.79168107649264
2,76.730468,30.707526,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.37561696646987125,266.22865558981914,0.3392429572899288,294.7739897059573,0.576815026753222,173.36580248763676,0.20012620259839045,499.68469246717353,0.25262129712067904,395.8494439692045,0.0,0.22247097772437696,449.49683335276063,0.10104851884827162,0.0,0.25588009024350183,390.808053509898
2,76.732014,30.741725,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6635594917873291,150.70238801142793,0.4450795513077319,224.67893594792253,0.2599152978881703,384.7407244302543,0.3679391060493333,271.7841032820034,0.19447147026841413,514.2142436727487,1.0,0.33731328335145655,296.46030837097834,0.4439277742803182,225.26186869500756,0.27688433583242716,361.1616370400992
2,76.727024,30.707493,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.3937946893148478,253.93943268759455,0.39919936889455837,250.50139802804466,0.5665849810332673,176.4960303353478,0.22341300480042967,447.60151759888817,0.2743798046258686,364.4583103933444,1.0,0.2451072543556346,407.98466068616045,0.10917620598207392,915.9504958105927,0.2847107992883279,351.2336035372145
2,76.727572,30.739281,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6473133600809929,154.4846841836971,0.46089467171622484,216.96931237593154,0.28681240391465745,348.65995554974506,0.37981176647043385,263.2883149705801,0.1981851587986051,504.5786506224695,1.0,0.3935355656380067,254.10663922555074,0.45968727736323073,217.53919441408226,0.30113615058682364,332.0757066367825
2,76.733378,30.717856,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.5613395225464191,178.14530419373895,0.3201394365187468,312.3638908327502,0.44955731593662623,222.44104690334285,0.22325077066456378,447.92678521253964,0.2805219012115564,356.4784053156146,1.0,0.16597964011757116,602.483533095778,0.204772743565847,488.3462430528205,0.3017151767151767,331.43841515934537
2,76.735551,30.722152,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.5808952616898221,172.14807314678447,0.4275083992050832,233.91353289418825,0.3512783723810967,284.67451418133845,0.331147015051732,301.9806776285691,0.18316950798927042,545.9423956407511,1.0,0.3474641975528682,287.7994357527571,0.4260647162093519,234.70612842501566,0.3055082744423552,327.3233766991424
2,76.739919,30.725365,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.58992178439699,169.51399769414965,0.3246165517121108,308.0557644783496,0.290199942450058,344.5900063099066,0.22959810957160173,435.54365576696665,0.23886713811114116,418.64276848945025,1.0,0.19226912445610947,520.1043083900227,0.3232039622263108,309.40214752063883,0.30677606968774795,325.97066681825936
2,76.729602,30.744926,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6750053556496921,148.14697270623887,0.4634468270367017,215.77448407491354,0.25579965032790397,390.93094877890644,0.38944211406497264,256.77757075680955,0.22136455043639908,451.74351450067115,1.0,0.35986510673291544,277.8819011041767,0.4623342340038837,216.29373869632155,0.31623211040239935,316.2234216909595
2,76.736806,30.748459,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.6845892799656615,146.0729855498408,0.48367582358622174,206.75004853157324,0.20349554673248202,491.4112451387516,0.41116267839896986,243.212736110658,0.24873242837214293,402.0384501307736,1.0,0.42343599098615736,236.16320324379114,0.4825960403476768,207.2126408827494,0.3408023929606181,293.4251697333465
2,76.739484,30.740651,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.8213578437902402,121.74961346754749,0.5576128946316771,179.33588150979458,0.18892589139025798,529.3080755852214,0.4543847964122375,220.0777860297854,0.23323120642955467,428.7590907360164,1.0,0.41636694640557703,240.17276314386262,0.5561742373784468,179.7997700708948,0.3413525154300431,292.9522867995213
2,76.735225,30.752778,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.7008961223152901,142.6744945736997,0.5078577652274013,196.9055252216601,0.2421565447456959,412.9560078791858,0.4380823364052076,228.26759193391499,0.2850546640972315,350.80990629183395,1.0,0.4108615875802154,243.3909691800436,0.5068274471643993,197.3058100138035,0.3723645799545897,268.5540069686411
2,76.743005,30.717842,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.5695798211654448,175.56801748240514,0.2560610636720574,390.53184645078267,0.4472877369283289,223.56973318055327,0.19138226114970303,522.5144660704892,0.3587765300238873,278.7250325246805,0.0,0.15220156869205495,0.0,0.25458755479897127,392.79217744544707,0.3741888837026258,267.2447107741225
2,76.735219,30.742392,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.8484965823765109,117.85551300621044,0.522930064985353,191.23016000772674,0.2311862352267753,432.5517040489368,0.500648169972053,199.7410676754939,0.22804639886864875,438.5072533313647,1.0,0.4646116030842789,215.23353987752293,0.5215748004983333,191.72705411468505,0.3935065153708879,254.12539842128908
2,76.744236,30.729776,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.7365568659079956,135.76684249182077,0.4396423688636655,227.45760436708574,0.344549469356441,290.2340850699401,0.33011045648132664,302.9289076932245,0.28896713845911737,346.0601109636134,1.0,0.2880032261554653,347.21833270721623,0.4381374853691883,228.23885958019977,0.4087184884281344,244.66718005486837
2,76.744586,30.725718,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.5954285812601081,167.94625442461893,0.3357420598052373,297.8476990878343,0.2664481607652868,375.30752590966324,0.24273080761157564,411.97901899631415,0.3157754378720622,316.6807420927889,1.0,0.2584735556243763,386.88677361379223,0.3343570420838925,299.0814830061492,0.43387185575169473,230.48279964310498
2,76.752629,30.749529,1.0,0.9355778484908915,106.88581411082177,0.9355778484908915,106.88581411082177,0.9355778484908915,106.88581411082177,0.9355778484908915,106.88581411082177,0.9355778484908915,106.88581411082177,1.0,1.0,100.0,0.6747071523328103,148.21244988177236,0.199561270408296,501.09923531456377,0.6417070569568121,155.83434670990405,0.3709606097127448,269.57040014958864,1.0,0.604588452567782,165.40176970844266,0.6733025239957341,148.52164730728617,0.48998985546201,204.08585787089467
2,76.739675,30.751624,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.9437486954706742,105.96041136790888,0.6759636123286719,147.93695722097135,0.21389062826132332,467.5286655281776,0.5843682599318166,171.12496837468188,0.37130383357684543,269.32121609593855,1.0,0.5471456898351075,182.76667779314292,0.6745634175189591,148.24403073590844,0.49069435747582274,203.7928467619014
2,76.749401,30.722265,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.7170992901947838,139.45070280691152,0.39471566523605156,253.3469249065579,0.33052368768570484,302.5501763585854,0.29077253218884125,343.9114391143911,0.3712343182568505,269.3716477225356,1.0,0.24661604489930672,405.48862115127173,0.4040834433806537,247.47363852222531,0.49684301749752396,201.2708168943893
2,76.74777,30.729357,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.7997717283567445,125.03567762449615,0.4541304151940809,220.20106263365597,0.2789219170813268,358.5232779353171,0.38604939878455363,259.0342073186545,0.37518647190156285,266.5341303303624,1.0,0.34319840610326285,291.3766445928995,0.45251849701144364,220.98544183370944,0.5126300297353851,195.0724581071052
