Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_3,fill_per_m_1,fill_ratio_2,distance_from_74,fill_per_m_2
Node 70,76.810948,30.704606,2,0.0288504227711681,0.9868869366005173,684.1403638540581,0.9868869366005173,0.0288504227711681,34.207018192702904,0.9880252792212484,0.0573622937001463,17.22429867233026,0.0,0.0517156116566945,0.0
Node 2,76.796025,30.717258,2,0.0493582281229653,0.9507143064099162,385.2303223046897,0.9507143064099162,0.0493582281229653,19.261516115234485,0.9511246475522873,0.0445883575926418,21.33123305957443,0.0,0.0394160807987929,0.0
Node 81,76.804746,30.720577,2,0.0480784714484246,0.8631034258755935,359.039461893656,0.8631034258755935,0.0480784714484246,17.9519730946828,0.8737527391518959,0.0501164479158015,17.43445067415493,0.0,0.0370527539191665,0.0
Node 63,76.794583,30.726623,2,0.0555126568966377,0.8287375091519293,298.5760565180675,0.8287375091519293,0.0555126568966377,14.928802825903373,0.8363266184442189,0.0499814470615001,16.732741199252466,0.8463995516072833,0.0270897955872482,31.24422068380993
Node 93,76.808299,30.735438,2,0.0657610324162686,0.7607850486168974,231.37868146628642,0.7607850486168974,0.0657610324162686,11.568934073314322,0.7801327405963998,0.0642825600802263,12.135993644664648,0.0,0.013566272716624,0.0
Node 31,76.787075,30.701861,2,0.028272534946824,0.6075448519014384,429.77741687763796,0.6075448519014384,0.028272534946824,21.4888708438819,0.6181191416817079,0.0297697720143552,20.76331459252178,0.6543516346439908,0.0615999073174991,10.622607454120386
Node 9,76.81374,30.739357,2,0.0700120170168887,0.6011150117432088,171.71766715368432,0.6011150117432088,0.0700120170168887,8.585883357684217,0.6383474601643574,0.0712647212706392,8.957411869193042,0.6479395170443522,0.0219966426962902,29.45629139821547
Node 48,76.768514,30.711515,2,0.0517135821656277,0.5200680211778108,201.13401524270455,0.5200680211778108,0.0517135821656277,10.056700762135227,0.5477690555447763,0.0230795130625866,23.733995342941,0.5844660563503573,0.0546723385399815,10.690343086805065
Node 61,76.788462,30.734446,2,0.0658628343748095,0.388677289689482,118.02628701874971,0.388677289689482,0.0658628343748095,5.9013143509374855,0.4198247242201497,0.0570075837471021,7.36436622331833,0.4740150090418194,0.0266746923352046,17.770214669588754
Node 40,76.775182,30.699007,2,0.0393547476464014,0.4401524937396013,223.68457177991786,0.4401524937396013,0.0393547476464014,11.184228588995891,0.441792815755228,0.0169049520324531,26.133928975787743,0.4718311171349557,0.0683055236985161,6.907656827543011
Node 24,76.807699,30.730302,2,0.0610473347561339,0.3663618432936917,120.02549980509362,0.3663618432936917,0.0610473347561339,6.0012749902546805,0.3891363084046323,0.0611983975022564,6.358602909337369,0.42932807956896046,0.0213221710195479,20.135289186797998
Node 17,76.81343,30.727917,2,0.0566087150375355,0.3042422429595377,107.48954211654656,0.3042422429595377,0.0566087150375355,5.374477105827328,0.3367120855344824,0.057832011777033,5.822244033851886,0.4009809963779608,0.0210484618615907,19.050370474322982
Node 37,76.778949,30.731555,2,0.0627185033776552,0.3046137691733707,97.13681059612013,0.3046137691733707,0.0627185033776552,4.856840529806007,0.3046137691733707,0.0509211572565243,5.982066896846534,0.3689132557052497,0.0357256386316441,10.32628862170944
Node 60,76.795366,30.753286,2,0.0898932857323494,0.32533033076326434,72.38145276654171,0.32533033076326434,0.0898932857323494,3.619072638327086,0.33837434244241704,0.0825452404642129,4.099259273332878,0.33837434244241704,0.0148670738337566,22.759982645281376
Node 5,76.793134,30.688779,2,0.0207009256054403,0.15601864044243652,150.73590757838778,0.15601864044243652,0.0207009256054403,7.536795378919389,0.2014328270619971,0.0398674303422225,5.052566100521034,0.2107812067946544,0.0736309488302015,2.862671337846422
Node 16,76.795622,30.702081,2,0.0258247515322745,0.18340450985343382,142.0377730443787,0.18340450985343382,0.0258247515322745,7.101888652218935,0.18647215121617633,0.0398757378353783,4.676331055891728,0.19679360910450516,0.0594643769348822,3.309436998221783
Node 69,76.785668,30.69366,2,0.0376473232695783,0.07455064367977082,39.60475125731609,0.07455064367977082,0.0376473232695783,1.9802375628658044,0.09705058769830249,0.0621742638031205,1.5609447022263183,0.14061727024261256,0.0728736887228781,1.9296027511019478
Node 30,76.803452,30.69467,2,0.0183268948347002,0.046450412719997725,50.6909797201961,0.046450412719997725,0.0183268948347002,2.534548986009805,0.062492604777427914,0.0475926725886403,1.3130719789067702,0.06343451668128448,0.0658649244948752,0.9631001199465458
Node 75,76.78033,30.715712,2,0.041874064621975,0.7068573438476171,337.611048857515,0.7068573438476171,0.041874064621975,16.88055244287575,0.0,0.0315312635841194,0.0,0.0,0.0448151699364081,0.0
Node 74,76.806329,30.744998,2,0.0776277693848905,0.8154614284548342,210.09528804354795,0.8154614284548342,0.0776277693848905,10.504764402177399,0.0,0.0750423764067309,0.0,0.0,0.0,
Node 44,76.780358,30.723789,2,0.051459016170814,0.9093204020787821,353.41538557999917,0.9093204020787821,0.051459016170814,17.67076927899996,0.0,0.0428656662089085,0.0,0.0,0.0378569053454414,0.0
Node 51,76.774327,30.717517,2,0.0459580864821341,0.9695846277645586,421.94299283608257,0.9695846277645586,0.0459580864821341,21.09714964180413,0.0,0.0316725284401652,0.0,0.0,0.0447263358915739,0.0
Node 34,76.785976,30.742138,2,0.0772745825647118,0.9488855372533332,245.58800727489177,0.9488855372533332,0.0772745825647118,12.279400363744587,0.0,0.0661700168150507,0.0,0.0,0.0240020402192532,0.0
Node 3,76.760852,30.696397,2,0.0562596996788315,0.7319939418114051,260.2196406984476,0.0,0.0562596996788315,0.0,0.0,0.0,,0.0,0.0750423764067309,0.0
Node 53,76.796979,30.710015,2,0.0368657884166476,0.9394989415641891,509.6860704272564,0.0,0.0368657884166476,0.0,0.0,0.0407201715368184,0.0,0.0,0.0489732133098244,0.0
