Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_9,fill_per_m_1,fill_ratio_2,distance_from_48,fill_per_m_2,fill_ratio_3,distance_from_2,fill_per_m_3
Node 2,76.796025,30.717258,2,0.0493582281229653,0.9507143064099162,385.2303223046897,0.9507143064099162,0.0493582281229653,385.2303223046897,0.9546043801459094,0.0353276385902103,540.4292040116383,0.0,0.0312765763059215,0.0,0.0,0.0,
Node 3,76.760852,30.696397,2,0.0562596996788315,0.7319939418114051,260.2196406984476,0.7319939418114051,0.0562596996788315,260.2196406984476,0.757906524304653,0.0712647212706392,212.70174380571325,0.0,0.0230795130625866,0.0,0.0,0.0445883575926418,0.0
Node 5,76.793134,30.688779,2,0.0207009256054403,0.15601864044243652,150.73590757838778,0.0,0.0207009256054403,0.0,0.0,0.0660151964621997,0.0,0.0,0.0388927726133064,0.0,0.0,0.0446473426803819,0.0
Node 9,76.81374,30.739357,2,0.0700120170168887,0.6011150117432088,171.71766715368432,0.0,0.0700120170168887,0.0,0.0,0.0,,0.0,0.0581450842155434,0.0,0.0,0.0353276385902103,0.0
Node 16,76.795622,30.702081,2,0.0258247515322745,0.18340450985343382,142.0377730443787,0.18340450985343382,0.0258247515322745,142.0377730443787,0.2081703016666404,0.0518486245668804,80.29925707985488,0.0,0.033161050125783,0.0,0.0,0.0275291125286716,0.0
Node 17,76.81343,30.727917,2,0.0566087150375355,0.3042422429595377,107.48954211654656,0.0,0.0566087150375355,0.0,0.0,0.0134327094935889,0.0,0.0,0.0493068962837102,0.0,0.0,0.0218949290966042,0.0
Node 23,76.785765,30.711475,2,0.043116154490331,0.29214464853521815,135.51516919289867,0.29214464853521815,0.043116154490331,135.51516919289867,0.29684518701651047,0.0448445229491365,132.38860288610846,0.0,0.0211173244866066,0.0,0.0,0.0164454615540249,0.0
Node 24,76.807699,30.730302,2,0.0610473347561339,0.3663618432936917,120.02549980509362,0.0,0.0610473347561339,0.0,0.0,0.0214485065285115,0.0,0.0,0.0430368114686393,0.0,0.0,0.0243726856560723,0.0
Node 30,76.803452,30.69467,2,0.0183268948347002,0.046450412719997725,50.6909797201961,0.0,0.0183268948347002,0.0,0.0,0.0582491721268734,0.0,0.0,0.0429357479885556,0.0,0.0,0.0378093277509225,0.0
Node 31,76.787075,30.701861,2,0.028272534946824,0.6075448519014384,429.77741687763796,0.6075448519014384,0.028272534946824,429.77741687763796,0.6075448519014384,0.0539841549494973,225.08265711292597,0.0,0.0255565861879288,0.0,0.0,0.0278406269490803,0.0
Node 34,76.785976,30.742138,2,0.0772745825647118,0.9488855372533332,245.58800727489177,0.9488855372533332,0.0772745825647118,245.58800727489177,0.0,0.0424513695514987,0.0,0.0,0.0457999789483012,0.0,0.0,0.0350050773443902,0.0
Node 37,76.778949,30.731555,2,0.0627185033776552,0.3046137691733707,97.13681059612013,0.3046137691733707,0.0627185033776552,97.13681059612013,0.0,0.0484284082216692,0.0,0.0,0.0305511193897748,0.0,0.0,0.0232187345218117,0.0
Node 40,76.775182,30.699007,2,0.0393547476464014,0.4401524937396013,223.68457177991786,0.4401524937396013,0.0393547476464014,223.68457177991786,0.46994124188917247,0.0608113181510216,154.5571634287219,0.0,0.0188396760189113,0.0,0.0,0.0343429498840496,0.0
