Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_68,fill_per_m_1,fill_ratio_2,distance_from_67,fill_per_m_2,fill_ratio_3,distance_from_76,fill_per_m_3,fill_ratio_4,distance_from_83,fill_per_m_4,fill_ratio_5,distance_from_7,fill_per_m_5,fill_ratio_6,distance_from_27,fill_per_m_6,fill_ratio_7,distance_from_87,fill_per_m_7
Node 12,76.704868,30.678243,1,0.1176093566752751,0.9429668127424776,160.35574709349916,0.9429668127424776,0.1176093566752751,8.017787354674958,0.9465876761659582,0.0076350029493927,123.98000137527795,0.9465876761659582,0.0610243542667728,15.511637731189667,0.9465876761659582,0.0639575014410394,14.800260404771915,0.9504231676061201,0.0521200117130697,18.235283077800812,0.9549073440057817,0.0427736301580044,22.32467388151029,0.955862806300144,0.0443436290085697,21.55580920351415,0.0,0.040718849934877,0.0
Node 1,76.70214,30.667839,1,0.1211656660261201,0.8966297855487091,148.00063664164065,0.8966297855487091,0.1211656660261201,7.400031832082032,0.8966297855487091,0.0230214764103299,38.947536186097295,0.9011314398167841,0.0757994003309394,11.88837162144362,0.9011314398167841,0.0803147061503238,11.22000543873186,0.9011314398167841,0.0676618090723966,13.318169469169733,0.9011314398167841,0.0463299395088494,19.45030469216694,0.9048342960657777,0.0607008337178541,14.90645582022107,0.9111733068695093,0.0464438716550203,19.618805978054525
Node 100,76.725678,30.715393,1,0.0992374600537195,0.5408226417587031,108.99566382814382,0.5408226417587031,0.0992374600537195,5.449783191407191,0.5790497213538546,0.0463345249889374,12.497154583803452,0.5790497213538546,0.0744888760751255,7.77364019789822,0.605728023131373,0.0238367490716933,25.411519889290993,0.6398841513516677,0.028203477118363,22.688129859528757,0.66534553693151,0.061161078367418,10.878577596924057,0.6883808040231119,0.01349378565094,51.01465384364973,0.7083955119043424,0.041693065817641,16.990727307095966
Node 91,76.71064,30.73247,1,0.1175927077038068,0.4720375393788945,80.28347141522848,0.4720375393788945,0.1175927077038068,4.0141735707614234,0.5095213423841312,0.0663961379293692,7.673960538580559,0.5265865047294052,0.071319382628075,7.383497799967123,0.560898166683256,0.0090622867513356,61.89366790899557,0.6026346919510555,0.0503365465311571,11.972110394542844,0.6404363153186758,0.0832752055343544,7.690600235798517,0.6592470584820171,0.0356268550637341,18.504217038036828,0.6702561096154539,0.0639932897403859,10.473849872925943
Node 99,76.744774,30.684734,1,0.0723974594730605,0.5772284335653176,159.46096389752668,0.5772284335653176,0.0723974594730605,7.973048194876334,0.6184841739492215,0.037889313435057,16.323446319746996,0.6352721341680223,0.0974052599498636,6.52194896348523,0.649984396671629,0.0559178135126107,11.623923680868588,0.649984396671629,0.036046172783214,18.03199470248098,0.6660847219235303,0.0239490164230389,27.812612850470064,0.6669074611084795,0.0325554955416754,20.485249879079507,0.6696370207573985,0.0096784665956958,69.18833826994856
Node 77,76.703579,30.658131,1,0.1173705765201099,0.5313563324277837,90.54336243065872,0.5313563324277837,0.1173705765201099,4.527168121532936,0.5313563324277837,0.0311092397019855,17.08033810912681,0.5748991367064661,0.0838871636225951,6.853243236270494,0.5979635166624655,0.0884024694419794,6.764104220583147,0.601905900151621,0.0755922225155887,7.962537416167324,0.6216269848575608,0.0424672458777016,14.637798425820694,0.6438939193670693,0.0687885970095097,9.360474662363792,0.6644318332526671,0.0465970663486042,14.25909151193957
Node 11,76.722321,30.711451,1,0.1035133050936767,0.5679699818685429,109.73854643218,0.5679699818685429,0.1035133050936767,5.486927321609,0.5879601970370186,0.0438492796177519,13.408662631688694,0.5879601970370186,0.0709597654874173,8.285824974171831,0.6022688365355783,0.0203076384839851,29.6572561605593,0.6109897785742231,0.0323657925538706,18.87763995141702,0.6193759195372563,0.0595471781533051,10.401431919119052,0.6193759195372563,0.0176561010864475,35.07999396382466,0.6490525045477583,0.0400791656035281,16.194261900767298
Node 78,76.695915,30.683212,1,0.1330538512644911,0.5425748519337814,81.55718106275992,0.5425748519337814,0.1330538512644911,4.077859053137996,0.5428127221426248,0.0230794975386087,23.519260817293645,0.5501130703296384,0.0537377630707634,10.236992366154766,0.5534486203050218,0.0612200610724868,9.040314736859187,0.5557903780401657,0.0630283254774494,8.818104777970332,0.5969439518447532,0.0582181247472204,10.253575745296642,0.6157079887743087,0.0512084788241897,12.023555530484973,0.6454349719787011,0.056163344524093,11.492103567689455
Node 85,76.738479,30.695717,1,0.083193935450196,0.5029873308942541,120.91923003098397,0.5029873308942541,0.083193935450196,6.045961501549198,0.5029873308942541,0.0313024059917809,16.068647599367406,0.5128317815410343,0.0900105978005914,5.697460011066217,0.5586956066649237,0.0467670703562778,11.946346059496689,0.6005545453477369,0.0198851838206539,30.201106047808633,0.6005545453477369,0.0374059411038822,16.05505776956399,0.6058680526497453,0.0203128457353615,29.82684260704168,0.6269398314980824,0.0179379285541051,34.95051447033482
Node 8,76.71562,30.689038,1,0.1070952370944553,0.5216013481436308,97.40887873166415,0.5216013481436308,0.1070952370944553,4.870443936583207,0.5669336782202924,0.01083768755074,52.311314158672346,0.5964227793341697,0.0636638712998448,9.36830838522419,0.6155016353700555,0.0484235198435033,12.710799160392588,0.6155016353700555,0.0399779775618164,15.396017330249617,0.6158286366134685,0.0367087164000432,16.7760874529719,0.6158286366134685,0.0285534211255021,21.567595487303954,0.6158286366134685,0.0300071080021097,20.522758693379306
Node 29,76.733676,30.673732,1,0.0932214445152221,0.390933829977436,83.8720815817439,0.390933829977436,0.0932214445152221,4.193604079087194,0.4106980823343159,0.0444867427100312,9.231920732234428,0.45816390927784945,0.1057000543883621,4.33456644775667,0.4993544045390739,0.0749069668693687,6.666327918602085,0.4993544045390739,0.0571911905815146,8.731316824526395,0.5423621105398266,0.0183264291213212,29.59453295289455,0.5491506301182869,0.0517219505795445,10.617361177702188,0.5600208074242107,0.0261004429256471,21.45637179489843
Node 65,76.707655,30.711497,1,0.118615352077936,0.4233119599973476,71.37557703647184,0.4233119599973476,0.118615352077936,3.5687788518235926,0.4233119599973476,0.0379039990671303,11.168002596444671,0.4674209988235249,0.0552067829751878,8.466731325996719,0.5113115964297038,0.0245687172328164,20.811489325407095,0.5266670781806168,0.0472713943246442,11.141348498494514,0.5266670781806168,0.0605259826007118,8.701503974830523,0.554630272767229,0.0308321141751317,17.988720125283457,0.554630272767229,0.0451876399497024,12.273937594098266
Node 54,76.712099,30.699538,1,0.1121480339523499,0.4521428277694599,80.63321519511773,0.4521428277694599,0.1121480339523499,4.031660759755886,0.4895553178458064,0.0236783029010812,20.675270516260365,0.4895553178458064,0.0632209754049614,7.743558442589096,0.4895553178458064,0.0360710883288786,13.571958610793212,0.4914245152757275,0.0395543278281348,12.424039094052805,0.4914245152757275,0.05125371262397,9.588076455673209,0.5078770495787287,0.0234360904884626,21.670724041142975,0.5236487976564448,0.0368867683732254,14.19611477910166
Node 90,76.683771,30.698843,1,0.150190534241492,0.3518491416517834,46.85370398723579,0.3518491416517834,0.150190534241492,2.3426851993617896,0.4071761040831724,0.0470061254748152,8.662192426417446,0.46275513770674004,0.0358515383434147,12.90753923232251,0.4852380058681372,0.0468440506957915,10.358583398760844,0.4934308391577316,0.0775885008656872,6.3595872281629156,0.4939701725238569,0.0782793440349519,6.310351454954683,0.49416369199530225,0.06501914861217,7.600279341443221,0.5221365826127542,0.0737635957367934,7.078513152692088
Node 97,76.7203,30.706517,1,0.1025437091415335,0.363663353319868,70.92845701883678,0.363663353319868,0.1025437091415335,3.5464228509418394,0.363663353319868,0.0331947709275953,10.955440967286487,0.363663353319868,0.0699172314504869,5.2013408679862065,0.40866444377058553,0.0263590676749402,15.503751832584976,0.4670964859630704,0.031351128113524,14.898873312363456,0.4967534480804582,0.0498315143289938,9.968660490645151,0.49771744815715313,0.0147604712387291,33.719617762014444,0.514181387999168,0.0344931716779844,14.906758728926897
Node 50,76.705261,30.701882,1,0.1201411676625286,0.25707791973695526,42.795974891650154,0.25707791973695526,0.1201411676625286,2.139798744582508,0.30490196035156025,0.0249861670510778,12.20283045928039,0.35288078392476696,0.0540469388548355,6.529153942882285,0.381161012096144,0.035112998852924,10.855267979038002,0.4145635422618854,0.0476398267679538,8.702037148060173,0.41509348455462536,0.0532701864381701,7.792228867762986,0.45635045683207986,0.0319662068056407,14.276027794187739,0.45635045683207986,0.0449700701947081,10.147870680570595
Node 64,76.717724,30.714285,1,0.1094263752767568,0.22920200928095702,41.8915473899722,0.22920200928095702,0.1094263752767568,2.09457736949861,0.22920200928095702,0.0464635379537186,4.932943537559721,0.2480630558023146,0.0659236159252047,3.7628860662582713,0.3172443590930154,0.0161726838746777,19.616061350815077,0.34441210981583714,0.0383923923414002,8.970842628226698,0.39518392703399985,0.0623959843725062,6.33348333243271,0.4282071147381532,0.0222446084267359,19.249928185900952,0.4528806151094684,0.0429279718227292,10.549778987454525
Node 46,76.690915,30.720093,1,0.1398509366669969,0.3361061630167298,48.06634421291605,0.3361061630167298,0.1398509366669969,2.4033172106458025,0.34872856930077023,0.0464878708509693,7.5014958292825105,0.35419059942523706,0.0499405301605713,7.092247484887038,0.40156727549991933,0.0214484706501431,18.72241998276181,0.40156727549991933,0.0677942131497813,5.923326739005226,0.4284142180597603,0.0752327139950947,5.694520313167137,0.44554729846098096,0.051675975810109,8.62194262374861,0.44554729846098096,0.0657082242548868,6.780693033685886
Node 41,76.700171,30.725513,1,0.1293613340750094,0.10786743864702808,16.676921186431453,0.10786743864702808,0.1293613340750094,0.8338460593215727,0.1667383364268057,0.0555814214124902,2.999893349063153,0.19777371765439783,0.0599645736854908,3.298175997910108,0.26895147497816685,0.0107632981366251,24.987831012780838,0.3317479256840564,0.0583273511396528,5.687690580869248,0.3661839494975865,0.0725414812777457,5.047924898246109,0.3891995874718938,0.0421994453042197,9.222860269041881,0.42071928685117443,0.0572031386267362,7.354828720089396
Node 86,76.694964,30.691922,1,0.1255415313283946,0.1683219687504015,26.815344208300406,0.1683219687504015,0.1255415313283946,1.3407672104150203,0.1683219687504015,0.0223571225617177,7.52878498947001,0.19967399227771498,0.0434946082991908,4.590775732573498,0.27693347434113663,0.0500974911456647,5.527891078136388,0.27693347434113663,0.0529394979525897,5.231131481245745,0.34033015951123685,0.0536303411218545,6.345851105775486,0.4021325024718169,0.04111965129933,9.779569859299105,0.4191403521374677,0.0491145928236959,8.53392704775206
Node 38,76.71554,30.654857,1,0.1169558559327434,0.24311430088563524,41.57368589144275,0.24311430088563524,0.1169558559327434,2.0786842945721373,0.26228971905623055,0.0321723348539401,8.15264792707789,0.26228971905623055,0.086092012994391,3.046620818046374,0.32316365899022115,0.0901704031850037,3.5839216369830615,0.3292681681442844,0.0751775019282223,4.379876421787224,0.3908310182375054,0.031113503854809,12.561459489143886,0.3908310182375054,0.0693952153841584,5.631959149833904,0.40668970739645977,0.0461823457612378,8.806172590258644
Node 4,76.725736,30.665169,1,0.1086001827804267,0.18882862124335853,34.77500984047913,0.18882862124335853,0.1086001827804267,1.7387504920239565,0.2656236518543441,0.0404450600657244,6.56751779877933,0.3221087699779132,0.1021625002628043,3.152906097142454,0.32593428084225134,0.089684949081957,3.6342138137849873,0.3908941515753487,0.0733348231624918,5.330266505303,0.4027306325234756,0.0220202179900926,18.289130139614116,0.4027306325234756,0.0675525366184278,5.9617395982967984,0.4027306325234756,0.0429770949743361,9.37082026516607
Node 47,76.74419,30.69002,1,0.0741823668184895,0.08537286903167252,23.01702485189347,0.08537286903167252,0.0741823668184895,1.1508512425946735,0.15223698627004123,0.0372226736303663,4.089899285091819,0.1535362484059977,0.0960513165476743,1.5984814568344954,0.23421859461157873,0.0545638701104213,4.292558319957673,0.3010295219241289,0.0295189884088661,10.197826488990184,0.3610110616161842,0.0311952986312009,11.572611177221054,0.3889631755975672,0.0299466503235738,12.988536994782953,0.3889631755975672,0.0128477168161477,30.274887060765334
