Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_44,fill_per_m_1,fill_ratio_2,distance_from_17,fill_per_m_2
Node 2,76.796025,30.717258,2,0.0493582281229653,0.9022989385279219,365.6123701523645,0.9022989385279219,0.0493582281229653,18.280618507618225,0.911603431746601,0.0197372464684692,46.186960942242514,0.0,0.0218949290966042,0.0
Node 81,76.804746,30.720577,2,0.0480784714484246,0.7123851383905839,296.3426735206353,0.7123851383905839,0.0480784714484246,14.817133676031766,0.7301597262372415,0.0307297162416329,23.76070512646044,0.0,0.0161503364400474,0.0
Node 24,76.807699,30.730302,2,0.0610473347561339,0.6940349652142297,227.3760084651344,0.6940349652142297,0.0610473347561339,11.368800423256719,0.7061950328684433,0.0308724509535183,22.874602147127668,0.0,0.0103272695003712,0.0
Node 69,76.785668,30.69366,2,0.0376473232695783,0.5932608816698673,315.1676295399541,0.5932608816698673,0.0376473232695783,15.758381476997704,0.5983917964095408,0.0471524584556639,12.690574701893675,0.6108269579961371,0.051854634375523,11.779602061652302
Node 31,76.787075,30.701861,2,0.028272534946824,0.484205028883788,342.52678777796064,0.484205028883788,0.028272534946824,17.12633938889803,0.5186997309983594,0.029941414996929,17.323821571277136,0.5186997309983594,0.0405808529701441,12.781883401513864
Node 16,76.795622,30.702081,2,0.0258247515322745,0.4340983526631018,336.18782517275116,0.4340983526631018,0.0258247515322745,16.809391258637557,0.44437414844187256,0.0299118470643116,14.856125316716529,0.4967256885249628,0.0384453225875271,12.920315270969182
Node 61,76.788462,30.734446,2,0.0658628343748095,0.3429397533430414,104.13756304244485,0.3429397533430414,0.0658628343748095,5.2068781521222425,0.3912538217500427,0.0198221126858126,19.73825030417051,0.4469873812387857,0.0311516890693687,14.348736604407948
Node 63,76.794583,30.726623,2,0.0555126568966377,0.3671241661978788,132.26683308689368,0.3671241661978788,0.0555126568966377,6.6133416543446835,0.4151740628223423,0.0194479257222674,21.347986862525815,0.4457387300086039,0.0208872881071335,21.340191590327787
Node 5,76.793134,30.688779,2,0.0207009256054403,0.3109127414613001,300.38535221786486,0.3109127414613001,0.0207009256054403,15.019267610893243,0.3464717981375373,0.0467481307282305,7.411457800350253,0.38680569100061035,0.0526118944828465,7.352057834121975
Node 51,76.774327,30.717517,2,0.0459580864821341,0.2879627467508177,125.31537702848497,0.2879627467508177,0.0459580864821341,6.265768851424249,0.3554646382538437,0.0129905584916182,27.363306857299282,0.3700879571180996,0.0431108508219039,8.58456629972295
