u,v,key,osmid,oneway,lanes,highway,length,geometry,name,ref,junction,bridge,maxspeed,tunnel,access
566572978,1442786113,0,632131510,True,3,secondary,40.945,"LINESTRING (76.7556364 30.7868181, 76.7558956 30.7866184, 76.755949 30.7865667)",,,,,,,
813348627,3909471537,0,129573954,False,,residential,20.525,"LINESTRING (76.8118234 30.6901156, 76.8118944 30.6899414)",,,,,,,
813348627,9461887976,0,130284008,False,,residential,184.707,"LINESTRING (76.8118234 30.6901156, 76.8113401 30.691051, 76.8112828 30.6912373, 76.8113073 30.6914025, 76.8114539 30.6916506)",,,,,,,
813348627,5512885435,0,377193923,True,,tertiary,292.342,"LINESTRING (76.8118234 30.6901156, 76.8124292 30.6901083, 76.8140897 30.6900774, 76.8144991 30.6900696, 76.8148795 30.6900886)",,,,,,,
1424618735,3955011682,0,129020213,False,,secondary,13.805,"LINESTRING (76.746815 30.6905433, 76.7467351 30.6906467)",,,,,,,
1424618908,1424618948,0,129041275,False,,residential,129.444,"LINESTRING (76.7372592 30.6928667, 76.7383537 30.6935518)",,,,,,,
1424618933,1424618946,0,129041145,False,,residential,22.748,"LINESTRING (76.737483 30.6933926, 76.7376738 30.6935148)",,,,,,,
1424618942,1424618961,0,129041136,False,,residential,69.543,"LINESTRING (76.7384107 30.6934867, 76.7389925 30.693862)",,,,,,,
1424618942,1424618948,0,129041247,False,,residential,9.061,"LINESTRING (76.7384107 30.6934867, 76.7383537 30.6935518)",,,,,,,
1424618943,3945278376,0,391323078,False,,residential,36.896,"LINESTRING (76.7439228 30.6935162, 76.7442333 30.6937132)",,,,,,,
1424618946,1424618962,0,129041010,False,,residential,62.987,"LINESTRING (76.7376738 30.6935148, 76.7372822 30.6939703)",,,,,,,
1424618946,1424618958,0,129041145,False,,residential,55.416,"LINESTRING (76.7376738 30.6935148, 76.7381386 30.6938125)",,,,,,,
1424618946,1424618933,0,129041145,False,,residential,22.748,"LINESTRING (76.7376738 30.6935148, 76.737483 30.6933926)",,,,,,,
1424618948,1424618942,0,129041247,False,,residential,9.061,"LINESTRING (76.7383537 30.6935518, 76.7384107 30.6934867)",,,,,,,
1424618948,1424618958,0,129041247,False,,residential,35.544,"LINESTRING (76.7383537 30.6935518, 76.7381386 30.6938125)",,,,,,,
1424618948,1424618908,0,129041275,False,,residential,129.444,"LINESTRING (76.7383537 30.6935518, 76.7372592 30.6928667)",,,,,,,
1424618958,1424618946,0,129041145,False,,residential,55.416,"LINESTRING (76.7381386 30.6938125, 76.7376738 30.6935148)",,,,,,,
1424618958,1424618948,0,129041247,False,,residential,35.544,"LINESTRING (76.7381386 30.6938125, 76.7383537 30.6935518)",,,,,,,
1424618958,1424618965,0,129041247,False,,residential,22.45,"LINESTRING (76.7381386 30.6938125, 76.7379999 30.6939754)",,,,,,,
1424618961,6475195004,0,129040930,False,,residential,34.773,"LINESTRING (76.7389925 30.693862, 76.7392002 30.6936053)",,,,,,,
1424618961,1424618942,0,129041136,False,,residential,69.543,"LINESTRING (76.7389925 30.693862, 76.7384107 30.6934867)",,,,,,,
1424618961,1424618968,0,129041136,False,,residential,31.164,"LINESTRING (76.7389925 30.693862, 76.7392532 30.6940302)",,,,,,,
1424618962,1424618946,0,129041010,False,,residential,62.987,"LINESTRING (76.7372822 30.6939703, 76.7376738 30.6935148)",,,,,,,
1424618965,1424618973,0,129041100,False,,residential,59.883,"LINESTRING (76.7379999 30.6939754, 76.7385102 30.6942876)",,,,,,,
1424618965,1424618958,0,129041247,False,,residential,22.45,"LINESTRING (76.7379999 30.6939754, 76.7381386 30.6938125)",,,,,,,
1424618968,1424618961,0,129041136,False,,residential,31.164,"LINESTRING (76.7392532 30.6940302, 76.7389925 30.693862)",,,,,,,
1424618973,4832139076,0,129041063,False,,residential,35.913,"LINESTRING (76.7385102 30.6942876, 76.7382812 30.6945436)",,,,,,,
1424618973,1424618965,0,129041100,False,,residential,59.883,"LINESTRING (76.7385102 30.6942876, 76.7379999 30.6939754)",,,,,,,
1424618973,4832139039,0,"[129041100, 491052559]",False,,"['residential', 'unclassified']",174.27200000000002,"LINESTRING (76.7385102 30.6942876, 76.739788 30.6950692, 76.7400106 30.6951753)",,,,,,,
1424618987,4832139076,0,129041063,False,,residential,23.534,"LINESTRING (76.7381115 30.6946969, 76.7382812 30.6945436)",,,,,,,
1424618987,4832139084,0,129041080,False,,residential,63.931,"LINESTRING (76.7381115 30.6946969, 76.7386511 30.6950364)",,,,,,,
1424618987,1424619003,0,"[129041117, 129041063]",False,,residential,156.804,"LINESTRING (76.7381115 30.6946969, 76.7377793 30.6950845, 76.7386551 30.6956279)",,,,,,,
1424618999,1424619011,0,129041070,False,,residential,52.61,"LINESTRING (76.7393835 30.6954972, 76.7390858 30.6958951)",,,,,,,
1424618999,4832139084,0,129041080,False,,residential,86.773,"LINESTRING (76.7393835 30.6954972, 76.7386511 30.6950364)",,,,,,,
1424618999,1424619001,0,129041080,False,,residential,21.693,"LINESTRING (76.7393835 30.6954972, 76.7395666 30.6956124)",,,,,,,
1424619001,1424618999,0,129041080,False,,residential,21.693,"LINESTRING (76.7395666 30.6956124, 76.7393835 30.6954972)",,,,,,,
1424619003,1424619013,0,129041097,False,,residential,43.63,"LINESTRING (76.7386551 30.6956279, 76.7383922 30.6959486)",,,,,,,
1424619003,1424619011,0,129041117,False,,residential,50.781,"LINESTRING (76.7386551 30.6956279, 76.7390858 30.6958951)",,,,,,,
1424619003,1424618987,0,"[129041117, 129041063]",False,,residential,156.804,"LINESTRING (76.7386551 30.6956279, 76.7377793 30.6950845, 76.7381115 30.6946969)",,,,,,,
1424619004,1424619013,0,129040970,False,,residential,54.113,"LINESTRING (76.737942 30.6956537, 76.7383922 30.6959486)",,,,,,,
1424619011,1424619033,0,129041070,False,,residential,101.192,"LINESTRING (76.7390858 30.6958951, 76.7384939 30.6966495)",,,,,,,
1424619011,1424618999,0,129041070,False,,residential,52.61,"LINESTRING (76.7390858 30.6958951, 76.7393835 30.6954972)",,,,,,,
1424619011,1424619003,0,129041117,False,,residential,50.781,"LINESTRING (76.7390858 30.6958951, 76.7386551 30.6956279)",,,,,,,
1424619013,1424619004,0,129040970,False,,residential,54.113,"LINESTRING (76.7383922 30.6959486, 76.737942 30.6956537)",,,,,,,
1424619013,1424619024,0,129041097,False,,residential,59.777,"LINESTRING (76.7383922 30.6959486, 76.738034 30.6963892)",,,,,,,
1424619013,1424619003,0,129041097,False,,residential,43.63,"LINESTRING (76.7383922 30.6959486, 76.7386551 30.6956279)",,,,,,,
1424619014,1424619039,0,129041219,False,,residential,100.297,"LINESTRING (76.7396594 30.696013, 76.7390486 30.6967463)",,,,,,,
1424619019,1424619024,0,129041236,False,,residential,11.885,"LINESTRING (76.7379302 30.6963304, 76.738034 30.6963892)",,,,,,,
