Node,x,y,ward,distance_from_0(in m),fill_ratio,fill_p_m,fill_ratio_0,distance_from_0,fill_per_m_0,fill_ratio_1,distance_from_87,fill_per_m_1,fill_ratio_2,distance_from_39,fill_per_m_2,fill_ratio_3,distance_from_8,fill_per_m_3,fill_ratio_4,distance_from_68,fill_per_m_4,fill_ratio_5,distance_from_12,fill_per_m_5
Node 35,76.749521,30.678734,1,0.075205546900787,0.9656320330745594,256.79808813795205,0.9656320330745594,0.075205546900787,12.839904406897602,0.9656320330745594,0.0163558221198465,59.0390397987296,0.9656320330745594,0.0830332989023009,11.62945524073115,0.9672887101887494,0.0414805223532446,23.319106301299705,0.9702329983741379,0.0445059630171277,21.800067510071695,0.0,0.0518285467852773,0.0
Node 56,76.745632,30.674951,1,0.0808275626559206,0.9218742350231168,228.10887888516322,0.9218742350231168,0.0808275626559206,11.405443944258163,0.9259217650161855,0.0191283291168226,48.40578386963629,0.9313405619063124,0.0799559443266654,11.648171624379268,0.935534143554201,0.0384031677776091,24.360858691966097,0.9416965561543279,0.0404869029458287,23.259288501625175,0.9424803592561611,0.0478094867139783,19.713249901522232
Node 77,76.703579,30.658131,1,0.1173705765201099,0.7712703466859457,131.42482035159787,0.7712703466859457,0.1173705765201099,6.571241017579894,0.782317276953302,0.0465970663486042,16.788981329867262,0.782317276953302,0.0595644120721964,13.133971271387294,0.787086026443291,0.0413366884205802,19.040858291188762,0.8060013820426524,0.0311092397019855,25.908745754117884,0.0,0.0246340769163252,0.0
Node 49,76.683981,30.717491,1,0.1449849491022236,0.5467102793432796,75.41614253460395,0.5467102793432796,0.1449849491022236,3.7708071267301975,0.5764893812701121,0.0708422366901135,8.137650760405268,0.5912250695202035,0.0321535374308423,18.38755909180583,0.6293128257087476,0.0426895010908761,14.741629900267181,0.6649408854284268,0.0471972351355828,14.088555897782168,0.6720007472913448,0.0531566682455533,12.641889897746923
Node 4,76.725736,30.665169,1,0.1086001827804267,0.5986584841970366,110.24999569428614,0.5986584841970366,0.1086001827804267,5.512499784714307,0.6050361286856256,0.0429770949743361,14.078106699555304,0.6376592839368768,0.0811131836910908,7.861351939597399,0.6667402309209726,0.0419530369648043,15.892537922351643,0.6667402309209726,0.0404450600657244,16.485084453762713,0.6667402309209726,0.0474139788532166,14.062102507470547
Node 29,76.733676,30.673732,1,0.0932214445152221,0.5924145688620425,127.09834565271241,0.5924145688620425,0.0932214445152221,6.35491728263562,0.5979314040601857,0.0261004429256471,22.90886042675697,0.6075759888319949,0.0846507378166486,7.177444692189092,0.6276943013736146,0.0441423005931256,14.219791287257173,0.6420471292758014,0.0444867427100312,14.43232500659186,0.6420471292758014,0.0518093264781807,12.392500982351066
Node 97,76.7203,30.706517,1,0.1025437091415335,0.5227328293819941,101.9531736774812,0.5227328293819941,0.1025437091415335,5.09765868387406,0.5254558639154199,0.0344931716779844,15.233619825421771,0.5609909786305831,0.0489009037086015,11.471996140879227,0.5648144296625197,0.0236202224400297,23.9123247503934,0.5883757075013807,0.0331947709275953,17.724951583029462,0.6294484378774268,0.0391542040375658,16.0761392895004
Node 90,76.683771,30.698843,1,0.150190534241492,0.4722149251619493,62.88211538054361,0.4722149251619493,0.150190534241492,3.1441057690271803,0.48602736054955914,0.0737635957367934,6.5889868260194895,0.529275462531368,0.0059281937144872,89.28106739122498,0.5531605875472683,0.0448182659137587,12.342302324049854,0.5872053633763714,0.0470061254748152,12.49210304922882,0.6214041317183645,0.0421787488806867,14.732635467120277
Node 18,76.698727,30.717564,1,0.1297843788242196,0.5247564316322378,80.86588484473464,0.5247564316322378,0.1297843788242196,4.0432942422367315,0.5247564316322378,0.0565671657537946,9.276696554255707,0.554265662443231,0.032870850699972,16.861920231462193,0.5593398305337131,0.0393306523977268,14.221473492924856,0.5837396902310421,0.0454687241398541,12.838268530156192,0.584335578422654,0.0514281572498246,11.362172196528526
Node 1,76.70214,30.667839,1,0.1211656660261201,0.3745401188473625,61.822813529803334,0.3745401188473625,0.1211656660261201,3.0911406764901668,0.43122270707003457,0.0464438716550203,9.284813942151656,0.4869119726838967,0.0547500837592258,8.893355758599153,0.4869119726838967,0.0332489251289245,14.644442513430713,0.4869119726838967,0.0230214764103299,21.150336494726975,0.529710933261043,0.0165463136246695,32.0138337322023
Node 85,76.738479,30.695717,1,0.083193935450196,0.3109823217156622,74.76081520433219,0.3109823217156622,0.083193935450196,3.7380407602166095,0.37343746467699557,0.0179379285541051,20.81831598061161,0.393807264292253,0.0689612812288779,5.710556087048802,0.43637768054780113,0.0274085046798216,15.921250927237432,0.453417857272502,0.0313024059917809,14.485080073127808,0.49544580345614037,0.0381718462106385,12.979351345025055
Node 83,76.738617,30.705924,1,0.0955561675262789,0.3308980248526492,69.25728258443368,0.3308980248526492,0.0955561675262789,3.462864129221684,0.3609902065412607,0.037693347098423,9.57702709708058,0.3654403441116095,0.0753847896800598,4.8476668259283215,0.42303367665789,0.0399779775618164,10.581667769555612,0.43426281660772453,0.045250571494212,9.596847117461733,0.47760484360489663,0.0521200117130697,9.16355979032007
Node 64,76.717724,30.714285,1,0.1094263752767568,0.3567533266935893,65.20426648352431,0.3567533266935893,0.1094263752767568,3.260213324176215,0.3742464023574724,0.0429279718227292,8.718008013584258,0.3821474639864116,0.0449072881833193,8.509698078993763,0.3991218209629233,0.036888989466153,10.819537936357193,0.4571917328638412,0.0464635379537186,9.83979595611597,0.46494576455480824,0.0524229710636891,8.86912273609868
Node 47,76.74419,30.69002,1,0.0741823668184895,0.31171107608941095,84.039129366716,0.31171107608941095,0.0741823668184895,4.2019564683357995,0.3140246629593022,0.0128477168161477,24.442059819112696,0.3581247764522912,0.0750019999759608,4.774869691035909,0.39714470597132,0.0334492234269045,11.873062070908386,0.4180804861187346,0.0372226736303663,11.231876846634254,0.423236567326817,0.0441609653596718,9.583951887820835
Node 65,76.707655,30.711497,1,0.118615352077936,0.28093450968738076,47.36899646898881,0.28093450968738076,0.118615352077936,2.3684498234494407,0.31921904358266157,0.0451876399497024,7.064299970920785,0.37620320936301493,0.0341904552333024,11.00316467844462,0.40251671576029174,0.0309056979196352,13.024029316761112,0.4229774100678332,0.0379039990671303,11.159176352835866,0.4229774100678332,0.0438634321771007,9.643053201127575
Node 15,76.699393,30.709152,1,0.125937199202349,0.18182496720710062,28.875498003565127,0.18182496720710062,0.125937199202349,1.4437749001782565,0.2584734420666056,0.0517944867902389,4.990365926655287,0.2964881535173901,0.0292111754331872,10.149819345528494,0.3544427829492043,0.0327913484438044,10.809033472857159,0.3948697915250318,0.0390339798503108,10.116052553167668,0.41950503498864217,0.0449934129602812,9.323698901414042
Node 86,76.694964,30.691922,1,0.1255415313283946,0.32518332202674705,51.80489971499942,0.32518332202674705,0.1255415313283946,2.590244985749971,0.3295943393566945,0.0491145928236959,6.710721201330573,0.38696344959607704,0.0224452917274773,17.240294948911725,0.38696344959607704,0.0201692630006611,19.185800174423495,0.3954967161581341,0.0223571225617177,17.689965024181898,0.4001906439378462,0.0186873424899584,21.415064456216165
Node 91,76.71064,30.73247,1,0.1175927077038068,0.1195942459383017,20.340418768064495,0.1195942459383017,0.1175927077038068,1.0170209384032247,0.17718815426818105,0.0639932897403859,2.7688552188364577,0.22330187326819315,0.0528828404786907,4.222577139330731,0.2701985529916904,0.0568215894418035,4.755209342892932,0.31175179520015067,0.0663961379293692,4.695330254476331,0.3673784384346383,0.0723555710393397,5.07740362155244
